num_qubits,depth,depth_multiplier,entanglement,noise_type,error_rate,observable_name,x_noisy,x_ideal
6,4,1,linear,depolarizing,0.001,ZZZZZZ,0.11862064475002637,0.13248402499778417
6,4,1,linear,depolarizing,0.005,ZZZZZZ,0.0030728950238593337,0.025922354637825412
6,4,1,linear,depolarizing,0.01,ZZZZZZ,-2.7608918704100788e-06,-0.0019833372654896736
6,4,1,linear,depolarizing,0.02,ZZZZZZ,-0.00165165994541255,-0.07231645013452097
6,4,1,linear,depolarizing,0.05,ZZZZZZ,0.00011759564366833376,-0.019660161775227246
6,4,1,linear,amplitude_damping,0.001,ZZZZZZ,-0.10845693609713092,-0.10845693609713097
6,4,1,linear,amplitude_damping,0.005,ZZZZZZ,-0.005784667061900232,-0.0059141897537574595
6,4,1,linear,amplitude_damping,0.01,ZZZZZZ,-0.0410115464204593,-0.052168600283679624
6,4,1,linear,amplitude_damping,0.02,ZZZZZZ,0.01779312298105247,0.028816226943814263
6,4,1,linear,amplitude_damping,0.05,ZZZZZZ,0.007430318953964746,0.039875911031736974
6,4,1,full,depolarizing,0.001,ZZZZZZ,0.26711182995183325,0.2866187305661602
6,4,1,full,depolarizing,0.005,ZZZZZZ,0.0009342698352287702,0.0016092686455661787
6,4,1,full,depolarizing,0.01,ZZZZZZ,0.0005896631887710724,0.028363770107224153
6,4,1,full,depolarizing,0.02,ZZZZZZ,-3.296262356102843e-05,-0.1788994148317216
6,4,1,full,depolarizing,0.05,ZZZZZZ,-5.936909989665007e-09,-0.008524243341867108
6,4,1,full,amplitude_damping,0.001,ZZZZZZ,0.02400299589116978,0.024385969178978777
6,4,1,full,amplitude_damping,0.005,ZZZZZZ,0.2664619872209053,0.2784049896384735
6,4,1,full,amplitude_damping,0.01,ZZZZZZ,-0.0018859018010264493,-0.0019184034292068252
6,4,1,full,amplitude_damping,0.02,ZZZZZZ,0.014475251693683994,-0.003500210867697029
6,4,1,full,amplitude_damping,0.05,ZZZZZZ,-0.014581303047084054,-0.04092355636215875
6,4,1,circular,depolarizing,0.001,ZZZZZZ,0.015838300894732052,0.017794488550343768
6,4,1,circular,depolarizing,0.005,ZZZZZZ,0.0005804607496430851,0.006467019272434479
6,4,1,circular,depolarizing,0.01,ZZZZZZ,-0.0014182232638628167,-0.12344206151968529
6,4,1,circular,depolarizing,0.02,ZZZZZZ,3.317545714700068e-06,0.027779644326607816
6,4,1,circular,depolarizing,0.05,ZZZZZZ,-0.0001503518563132798,-0.012093463821086087
6,4,1,circular,amplitude_damping,0.001,ZZZZZZ,-0.11595929196061715,-0.11932122241663634
6,4,1,circular,amplitude_damping,0.005,ZZZZZZ,0.07993390239297983,0.08598669247084685
6,4,1,circular,amplitude_damping,0.01,ZZZZZZ,0.32291933218871494,0.3609403856088388
6,4,1,circular,amplitude_damping,0.02,ZZZZZZ,0.09687426214260972,0.11919534620140666
6,4,1,circular,amplitude_damping,0.05,ZZZZZZ,0.012814920672636673,0.04580327754942641
6,6,1,linear,depolarizing,0.001,ZZZZZZ,-0.02173921525924695,-0.025564588523063057
6,6,1,linear,depolarizing,0.005,ZZZZZZ,-0.005069070017029578,-0.015116790558717067
6,6,1,linear,depolarizing,0.01,ZZZZZZ,-0.0026545744090375224,-0.022515068546353656
6,6,1,linear,depolarizing,0.02,ZZZZZZ,-0.006546470613385943,-0.22966474406577095
6,6,1,linear,depolarizing,0.05,ZZZZZZ,-0.00015987119657106912,0.0021615361828052765
6,6,1,linear,amplitude_damping,0.001,ZZZZZZ,-0.04045213963166924,-0.04138071842918932
6,6,1,linear,amplitude_damping,0.005,ZZZZZZ,0.0012752335927892558,0.0016991715709973078
6,6,1,linear,amplitude_damping,0.01,ZZZZZZ,-0.03666942414415597,-0.06238987682569603
6,6,1,linear,amplitude_damping,0.02,ZZZZZZ,-0.03639740555997936,-0.03639740555997949
6,6,1,linear,amplitude_damping,0.05,ZZZZZZ,0.02752865204076892,0.04573358569285381
6,6,1,full,depolarizing,0.001,ZZZZZZ,-0.0523330054306098,-0.06157790787867421
6,6,1,full,depolarizing,0.005,ZZZZZZ,-0.0017051887152709395,-0.10292032088564461
6,6,1,full,depolarizing,0.01,ZZZZZZ,6.681692765924188e-06,0.02889255939063362
6,6,1,full,depolarizing,0.02,ZZZZZZ,-3.839581215643595e-08,-0.001203760865973614
6,6,1,full,depolarizing,0.05,ZZZZZZ,-4.571607630421588e-05,-0.07507424553137523
6,6,1,full,amplitude_damping,0.001,ZZZZZZ,-0.048072824197763785,-0.04807282419776381
6,6,1,full,amplitude_damping,0.005,ZZZZZZ,-0.20636276139599924,-0.20636276139599924
6,6,1,full,amplitude_damping,0.01,ZZZZZZ,0.07686808719309167,0.07686808719309168
6,6,1,full,amplitude_damping,0.02,ZZZZZZ,0.01891373458550176,0.0401357460373484
6,6,1,full,amplitude_damping,0.05,ZZZZZZ,0.014550900502230402,0.13677075742813122
6,6,1,circular,depolarizing,0.001,ZZZZZZ,-0.15355788441120474,-0.21668928736045906
6,6,1,circular,depolarizing,0.005,ZZZZZZ,-0.020274868685635643,-0.038260877483053624
6,6,1,circular,depolarizing,0.01,ZZZZZZ,0.00046331055395432315,0.2778248981173723
6,6,1,circular,depolarizing,0.02,ZZZZZZ,0.0020029740443173755,0.09177486750607187
6,6,1,circular,depolarizing,0.05,ZZZZZZ,-1.9119445610060737e-12,0.028212417473326076
6,6,1,circular,amplitude_damping,0.001,ZZZZZZ,0.09585728619594153,0.10026767076432627
6,6,1,circular,amplitude_damping,0.005,ZZZZZZ,-0.11716878661947938,-0.13011419686600645
